Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,AirQuality_Class
9/7/2004,21:00:00,2.2,1088,-200,11.1,1019,-200,668,-200,1554,1165,26.3,34.1,1.1453,4
2/13/2005,1:00:00,4.1,1751,-200,18.5,1255,689,435,221,1541,2226,9.4,73.4,0.8662,4
10/11/2004,18:00:00,4.5,1326,-200,22.2,1356,448,525,95,1966,1405,20.8,61.4,1.4898,4
3/19/2005,22:00:00,2.3,1199,-200,7.3,869,325,618,163,1306,1160,13.2,65.6,0.9882,4
5/18/2004,18:00:00,4.4,1443,-200,22.7,1371,221,664,160,1988,1425,27.5,24.7,0.8899,4
11/30/2004,15:00:00,2.2,1113,-200,10.1,980,278,984,109,1311,995,15.3,54.3,0.9357,4
2/13/2005,10:00:00,3.2,1586,-200,13.0,1084,492,495,158,1473,1619,11.0,78.2,1.022,4
12/12/2004,13:00:00,3.2,1253,-200,13.7,1108,478,633,156,1253,1494,15.1,37.4,0.6374,4
9/10/2004,20:00:00,2.6,1136,-200,12.9,1082,307,824,159,1478,1130,27.7,30.1,1.0991,4
12/25/2004,20:00:00,6.2,1739,-200,21.3,1333,821,460,174,1689,1832,11.3,78.3,1.0455,4
5/13/2004,17:00:00,4.6,1390,-200,22.6,1368,228,605,148,2092,1494,20.3,43.1,1.0114,4
12/21/2004,22:00:00,2.3,1032,-200,9.3,952,449,833,166,1025,1198,5.9,44.7,0.4186,4
11/29/2004,16:00:00,2.3,1200,-200,11.4,1027,316,760,121,1416,1199,17.9,51.4,1.0488,4
3/31/2004,14:00:00,2.6,1349,295,11.2,1023,171,804,114,1748,1054,13.6,69.2,1.0746,4
11/28/2004,13:00:00,2.7,1184,-200,9.4,954,416,701,124,1313,1133,12.1,64.8,0.9135,4
2/10/2005,8:00:00,3.3,-200,-200,-200.0,-200,492,-200,247,-200,-200,-200.0,-200.0,-200.0,4
1/13/2005,9:00:00,4.1,1469,-200,24.0,1403,758,452,134,1780,1665,8.8,73.2,0.8298,4
2/19/2005,22:00:00,2.8,1277,-200,10.4,991,459,609,214,1141,1575,9.1,41.9,0.4857,4
9/21/2004,15:00:00,2.6,1207,-200,14.6,1136,278,645,152,1696,1024,30.5,34.9,1.5015,4
12/4/2004,17:00:00,2.3,1131,-200,8.3,912,444,728,120,1356,987,12.7,84.4,1.2352,4
9/23/2004,11:00:00,2.7,1248,-200,15.9,1177,324,608,129,1784,1230,26.4,47.3,1.6006,4
2/25/2005,23:00:00,2.7,1188,-200,10.1,983,482,648,170,1193,1338,5.1,68.2,0.6033,4
10/1/2004,17:00:00,5.6,1629,-200,26.5,1466,540,458,169,2130,1703,25.8,46.9,1.5375,4
1/9/2005,14:00:00,2.2,1278,-200,12.6,1070,256,557,142,1479,1110,16.6,52.4,0.981,4
6/9/2004,12:00:00,2.8,1247,-200,18.6,1257,168,701,174,2000,1337,37.2,23.2,1.4478,4
3/13/2004,16:00:00,2.5,1306,111,10.2,987,138,1004,124,1554,1078,17.6,35.1,0.7012,4
12/14/2004,21:00:00,4.1,-200,-200,-200.0,-200,670,-200,148,-200,-200,-200.0,-200.0,-200.0,4
3/16/2005,11:00:00,3.2,1339,-200,13.3,1094,568,509,200,1376,1634,19.3,34.7,0.7681,4
11/23/2004,19:00:00,11.9,2008,-200,50.6,1980,1389,325,220,2562,2342,12.4,74.7,1.0741,4
10/23/2004,17:00:00,3.3,1361,-200,16.3,1189,420,549,120,1776,1351,25.6,48.3,1.5641,4
3/6/2005,20:00:00,2.1,1032,-200,5.3,778,270,834,185,926,869,8.0,41.2,0.4433,4
7/6/2004,10:00:00,2.6,1227,-200,14.3,1125,227,675,147,1835,1470,30.5,32.9,1.4135,4
1/13/2005,10:00:00,3.9,1321,-200,15.7,1170,760,532,158,1488,1539,9.7,70.1,0.8432,4
7/16/2004,22:00:00,2.3,1041,-200,12.3,1060,144,748,124,1629,1185,26.9,30.5,1.0671,4
10/9/2004,8:00:00,3.2,1453,-200,20.1,1298,470,489,69,1940,1497,21.5,63.7,1.6186,4
5/23/2004,1:00:00,3.6,1405,-200,15.9,1177,179,660,108,1931,1474,19.5,56.2,1.2624,4
12/27/2004,19:00:00,2.1,1114,-200,8.0,899,245,710,119,1279,948,13.3,63.6,0.9661,4
2/2/2005,20:00:00,5.9,1470,-200,31.4,1584,771,436,195,1641,2033,8.2,36.2,0.3953,4
10/23/2004,11:00:00,3.0,1356,-200,16.2,1187,441,534,102,1738,1465,23.3,57.5,1.6169,4
3/22/2004,16:00:00,2.3,1076,451,11.6,1034,150,964,101,1544,813,21.3,24.2,0.606,4
3/26/2004,18:00:00,2.4,1168,239,11.6,1037,125,868,105,1580,990,12.1,45.6,0.6403,4
11/25/2004,4:00:00,2.2,1050,-200,9.4,956,456,725,89,1162,1025,4.3,85.4,0.7152,4
7/2/2004,0:00:00,2.3,1171,-200,13.3,1093,117,669,105,1862,1205,26.1,45.3,1.5115,4
12/18/2004,20:00:00,3.9,1112,-200,19.0,1267,659,671,162,1250,1307,11.1,24.8,0.3264,4
6/15/2004,8:00:00,4.0,1195,-200,24.8,1424,260,609,119,2244,1489,23.7,39.9,1.1508,4
4/29/2004,13:00:00,3.8,1398,516,22.3,1360,205,656,129,2037,1439,24.9,29.9,0.9325,4
9/9/2004,8:00:00,3.2,1289,-200,21.4,1335,542,724,130,1681,1521,21.0,35.6,0.8736,4
7/5/2004,19:00:00,3.5,1200,-200,19.1,1270,239,654,176,1906,1264,33.6,22.9,1.1747,4
12/20/2004,14:00:00,2.3,857,-200,3.9,708,162,972,93,983,581,9.7,49.8,0.5998,4
2/2/2005,8:00:00,4.0,1322,-200,15.1,1151,573,566,174,1286,1446,2.7,63.4,0.4787,4
4/10/2004,20:00:00,2.4,1123,277,10.5,996,172,861,133,1551,1033,14.8,41.5,0.6929,4
6/21/2004,17:00:00,2.2,969,-200,12.4,1064,132,834,124,1645,816,30.1,19.3,0.8083,4
7/12/2004,13:00:00,2.1,962,-200,9.6,963,164,835,96,1592,843,27.0,27.9,0.9812,4
6/10/2004,15:00:00,2.3,1142,-200,13.8,1109,140,782,133,1789,1047,40.4,17.2,1.2774,4
12/15/2004,14:00:00,4.3,-200,-200,-200.0,-200,861,-200,181,-200,-200,-200.0,-200.0,-200.0,4
6/8/2004,15:00:00,2.6,1083,-200,14.8,1141,177,825,143,1793,1008,37.7,17.7,1.1383,4
12/13/2004,17:00:00,5.9,1595,-200,33.4,1628,1014,495,218,1822,2140,14.1,44.9,0.7194,4
4/16/2004,14:00:00,4.6,1544,609,18.9,1266,280,613,148,2066,1415,14.5,75.7,1.2425,4
5/2/2004,0:00:00,2.3,1167,-200,8.4,914,105,876,99,1599,1126,17.2,59.3,1.1551,4
3/10/2005,21:00:00,4.2,1274,-200,14.6,1136,684,547,229,1233,1741,11.5,35.9,0.4862,4
7/31/2004,21:00:00,2.2,1128,-200,13.0,1082,95,675,105,1817,1066,30.1,37.7,1.5799,4
11/29/2004,18:00:00,2.3,1161,-200,10.0,979,267,758,115,1375,1132,16.7,57.3,1.0813,4
3/15/2004,14:00:00,2.9,1400,191,15.4,1162,159,838,111,1829,1263,23.9,30.0,0.8757,4
1/10/2005,14:00:00,2.6,1410,-200,19.3,1276,548,459,155,1701,1587,14.4,63.8,1.0421,4
9/21/2004,19:00:00,5.4,1422,-200,28.7,1520,531,494,210,2087,1624,26.7,42.3,1.4618,4
7/22/2004,12:00:00,2.1,1210,-200,14.0,1118,144,658,130,1742,1422,40.1,19.0,1.3849,4
11/27/2004,13:00:00,4.4,1562,-200,19.4,1280,743,479,156,1711,1709,15.4,73.3,1.27,4
1/20/2005,12:00:00,2.6,1135,-200,11.9,1047,529,641,151,1175,1379,13.9,32.3,0.5117,4
10/8/2004,17:00:00,2.9,1354,-200,19.2,1275,294,543,90,1799,1338,28.4,39.8,1.5191,4
3/14/2005,22:00:00,2.1,1218,-200,8.4,914,308,597,158,1291,1383,13.7,58.5,0.9146,4
7/23/2004,0:00:00,2.7,1270,-200,16.3,1189,157,592,107,1917,1608,28.6,38.7,1.4921,4
10/11/2004,12:00:00,2.7,1225,-200,15.2,1155,379,607,91,1738,1159,21.1,64.0,1.5795,4
1/15/2005,0:00:00,2.3,1111,-200,7.5,877,293,735,129,1142,1104,6.4,74.9,0.7238,4
4/23/2004,7:00:00,4.0,1490,452,22.6,1368,244,627,95,2119,1541,14.0,58.0,0.9202,4
10/31/2004,22:00:00,2.7,1229,-200,13.9,1114,352,598,76,1723,1247,19.7,73.7,1.6708,4
4/25/2004,22:00:00,2.8,1126,347,13.0,1083,116,875,93,1654,955,14.8,39.5,0.6595,4
12/20/2004,1:00:00,2.8,1098,-200,7.0,859,362,792,118,1211,1006,8.2,78.4,0.8561,4
4/16/2004,13:00:00,4.3,1559,535,18.9,1267,230,653,149,2047,1373,15.7,62.5,1.1092,4
11/9/2004,19:00:00,4.6,1275,-200,19.9,1294,-200,570,-200,1605,1280,8.6,75.5,0.8469,4
12/16/2004,12:00:00,4.2,-200,-200,-200.0,-200,845,-200,190,-200,-200,-200.0,-200.0,-200.0,4
3/5/2005,19:00:00,2.5,1161,-200,9.1,945,344,654,177,1205,1077,8.5,57.9,0.6435,4
12/1/2004,19:00:00,3.0,1124,-200,11.9,1047,401,1401,126,1419,1193,12.5,72.6,1.0489,4
3/9/2005,20:00:00,5.9,1552,-200,24.4,1413,682,407,199,1724,2088,11.5,53.9,0.7312,4
12/8/2004,21:00:00,3.5,1210,-200,9.2,947,457,697,121,1404,1060,13.9,76.7,1.2098,4
3/26/2004,17:00:00,2.3,1180,247,11.2,1023,127,886,102,1588,966,14.2,43.3,0.6982,4
11/16/2004,21:00:00,2.8,1144,-200,13.2,1091,436,671,171,1295,1388,11.8,44.3,0.6121,4
6/9/2004,18:00:00,4.9,1460,-200,27.6,1493,277,586,222,2288,1649,37.3,23.4,1.4672,4
2/24/2005,8:00:00,3.1,1310,-200,12.9,1082,621,555,267,1400,1254,4.1,82.5,0.6819,4
3/10/2005,11:00:00,2.7,1283,-200,11.7,1039,500,549,168,1308,1724,14.7,41.2,0.6857,4
3/11/2005,20:00:00,3.8,1438,-200,22.8,1374,689,435,231,1640,1705,12.9,48.8,0.725,4
5/3/2004,16:00:00,2.4,1203,-200,16.8,1204,129,790,102,1744,1079,30.2,20.5,0.8672,4
1/1/2005,12:00:00,2.3,1097,-200,7.4,875,261,778,125,1080,1151,8.6,43.6,0.4887,4
11/3/2004,23:00:00,2.7,1187,-200,14.2,1122,313,589,77,1641,1208,19.5,67.6,1.5156,4
6/11/2004,18:00:00,3.2,1074,-200,19.1,1270,230,776,146,1833,1087,34.2,14.2,0.7502,4
12/6/2004,8:00:00,3.1,1314,-200,15.8,1173,587,589,112,1627,1238,12.7,77.2,1.1298,4
1/31/2005,10:00:00,3.5,1293,-200,15.1,1153,584,602,283,1141,1667,6.6,34.4,0.3359,4
11/18/2004,20:00:00,5.4,1422,-200,25.1,1432,620,474,212,1852,1636,16.6,56.5,1.0551,4
2/2/2005,14:00:00,2.2,1028,-200,10.1,983,337,728,133,979,1048,13.7,19.9,0.3114,4
10/22/2004,17:00:00,5.4,1654,-200,29.8,1546,494,435,152,2176,2007,26.2,48.9,1.634,4
6/29/2004,18:00:00,3.7,1372,-200,23.2,1382,202,568,181,2268,1441,36.9,27.8,1.7099,4
1/16/2005,20:00:00,2.2,1013,-200,7.4,873,369,820,167,984,985,8.1,37.9,0.41,4
10/8/2004,7:00:00,5.7,1606,-200,31.2,1578,665,440,81,2205,1786,19.4,66.5,1.4801,4
1/19/2005,21:00:00,2.6,1016,-200,7.8,892,317,758,141,1109,945,9.2,49.8,0.5808,4
7/6/2004,19:00:00,3.9,1213,-200,21.1,1327,251,654,155,1864,2021,34.2,17.9,0.9444,4
3/28/2005,20:00:00,2.9,1163,-200,9.4,954,388,600,157,1369,1118,17.6,54.4,1.0839,4
5/3/2004,16:00:00,2.4,1203,-200,16.8,1204,129,790,102,1744,1079,30.2,20.5,0.8672,4
2/9/2005,10:00:00,3.3,-200,-200,-200.0,-200,446,-200,203,-200,-200,-200.0,-200.0,-200.0,4
4/23/2004,13:00:00,3.0,1326,468,18.9,1265,160,757,136,1835,1246,29.2,21.5,0.8573,4
6/20/2004,19:00:00,2.5,-200,-200,-200.0,-200,96,-200,105,-200,-200,-200.0,-200.0,-200.0,4
2/11/2005,8:00:00,3.8,-200,-200,-200.0,-200,589,-200,267,-200,-200,-200.0,-200.0,-200.0,4
4/23/2004,8:00:00,5.6,1662,880,31.1,1576,351,523,123,2417,1861,15.4,53.3,0.9289,4
3/27/2004,13:00:00,2.1,1065,232,10.0,979,106,950,96,1467,766,19.1,26.8,0.5861,4
7/7/2004,13:00:00,2.2,1068,-200,15.1,1152,193,739,142,1683,1309,42.6,9.6,0.8012,4
11/18/2004,1:00:00,2.2,999,-200,5.1,771,235,864,127,1068,995,8.8,63.8,0.7236,4
2/19/2005,10:00:00,2.2,1085,-200,5.7,800,346,750,200,983,1219,3.1,57.2,0.4402,4
10/7/2004,21:00:00,2.8,1331,-200,16.5,1194,326,559,92,1715,1477,22.3,57.1,1.5219,4
6/18/2004,18:00:00,2.9,1091,-200,16.7,1201,167,738,164,1834,945,33.1,24.3,1.2087,4
2/3/2005,20:00:00,3.9,1444,-200,17.6,1227,646,485,231,1414,1891,9.3,55.5,0.6503,4
3/30/2005,20:00:00,3.5,1278,-200,14.9,1147,438,505,185,1536,1890,18.2,52.6,1.0911,4
5/10/2004,19:00:00,4.0,1319,-200,24.4,1413,204,597,135,2050,1329,19.2,45.7,1.0084,4
7/6/2004,9:00:00,3.4,1257,-200,17.6,1227,308,611,162,1954,1608,26.7,39.4,1.3556,4
3/17/2004,14:00:00,2.6,1389,152,13.7,1108,161,887,123,1712,1334,25.9,25.9,0.8503,4
11/20/2004,17:00:00,3.4,1117,-200,21.1,1327,625,692,196,1302,1475,13.5,19.5,0.3003,4
11/4/2004,21:00:00,3.6,1380,-200,21.8,1345,480,493,92,1856,1419,20.0,69.0,1.5956,4
1/7/2005,17:00:00,3.6,1404,-200,16.5,1195,590,499,170,1501,1623,11.2,65.3,0.8639,4
12/16/2004,12:00:00,4.2,-200,-200,-200.0,-200,845,-200,190,-200,-200,-200.0,-200.0,-200.0,4
2/4/2005,10:00:00,3.1,1308,-200,16.3,1189,566,534,274,1325,1656,7.7,49.8,0.5267,4
10/30/2004,11:00:00,4.0,1371,-200,20.3,1305,599,521,152,1845,1461,21.2,64.4,1.6015,4
3/23/2005,17:00:00,2.5,1239,-200,12.3,1062,431,558,159,1299,1380,23.2,23.3,0.6562,4
5/6/2004,20:00:00,2.2,1034,-200,8.9,935,122,870,98,1605,941,13.7,65.8,1.0254,4
7/8/2004,22:00:00,2.6,1237,-200,15.8,1175,173,660,128,1834,1424,30.5,29.7,1.2742,4
1/10/2005,20:00:00,3.3,1385,-200,17.3,1218,399,478,135,1620,1494,13.4,68.1,1.0441,4
8/6/2004,7:00:00,2.3,1240,-200,13.6,1102,205,588,72,1989,1257,22.0,75.9,1.9817,4
11/2/2004,12:00:00,4.9,1426,-200,25.6,1445,667,477,151,1970,1782,24.0,50.0,1.4679,4
3/31/2005,8:00:00,4.1,1184,-200,10.9,1012,547,567,170,1397,1341,16.8,51.6,0.9818,4
3/16/2005,16:00:00,3.0,1231,-200,12.4,1064,509,618,211,1188,1082,28.8,15.1,0.5877,4
11/11/2004,16:00:00,3.2,1172,-200,13.7,1107,552,629,186,1449,1106,12.2,75.7,1.0693,4
1/14/2005,0:00:00,2.7,1183,-200,8.8,930,317,669,112,1210,1179,7.6,73.0,0.7629,4
1/28/2005,18:00:00,2.4,-200,-200,-200.0,-200,288,-200,190,-200,-200,-200.0,-200.0,-200.0,4
1/12/2005,19:00:00,5.7,1517,-200,28.4,1512,728,421,182,1902,1740,14.1,57.8,0.9262,4
10/24/2004,18:00:00,4.3,1482,-200,20.3,1305,472,503,128,1874,1464,22.9,57.6,1.5885,4
3/4/2005,21:00:00,2.3,1109,-200,7.9,896,303,710,175,1132,1242,7.5,58.7,0.6112,4
1/20/2005,10:00:00,4.4,1326,-200,17.4,1223,854,547,190,1381,1613,8.3,50.5,0.5558,4
6/10/2004,19:00:00,5.1,1373,-200,25.4,1440,363,635,211,2183,1510,33.1,25.9,1.2923,4
7/8/2004,11:00:00,3.2,1396,-200,20.3,1306,361,587,189,1934,1886,33.4,26.8,1.3586,4
10/27/2004,18:00:00,3.6,1247,-200,20.7,1315,403,544,116,1874,1341,19.2,66.4,1.4592,4
9/21/2004,15:00:00,2.6,1207,-200,14.6,1136,278,645,152,1696,1024,30.5,34.9,1.5015,4
11/25/2004,4:00:00,2.2,1050,-200,9.4,956,456,725,89,1162,1025,4.3,85.4,0.7152,4
9/20/2004,21:00:00,2.1,1032,-200,11.7,1039,231,761,118,1455,1071,24.8,33.7,1.0377,4
10/29/2004,11:00:00,2.6,1296,-200,13.9,1113,419,604,101,1736,1073,19.8,81.0,1.8538,4
10/11/2004,19:00:00,4.0,1324,-200,21.4,1335,388,537,80,1920,1444,19.9,64.2,1.4711,4
11/28/2004,0:00:00,2.5,1250,-200,10.3,989,327,665,88,1343,1204,10.6,79.4,1.0133,4
10/8/2004,18:00:00,2.3,1352,-200,20.0,1296,211,534,84,1846,1337,26.4,45.9,1.5572,4
3/29/2005,19:00:00,2.6,1251,-200,13.4,1097,306,502,151,1541,1328,17.1,61.5,1.191,4
12/13/2004,19:00:00,6.9,1633,-200,35.6,1677,1018,400,217,1880,2188,11.7,60.8,0.8336,4
3/29/2005,13:00:00,2.5,1197,-200,11.7,1040,321,530,136,1519,1147,18.0,57.9,1.1826,4
9/24/2004,13:00:00,4.6,1467,-200,26.9,1477,483,491,153,2114,1592,25.4,48.7,1.5594,4
9/23/2004,21:00:00,2.3,1168,-200,12.6,1070,228,667,116,1646,1102,25.1,50.5,1.584,4
9/13/2004,20:00:00,4.7,1418,-200,26.7,1471,728,542,177,2064,1600,27.1,42.2,1.4949,4
1/18/2005,13:00:00,4.9,1557,-200,25.1,1432,1022,445,234,1605,2068,5.5,66.1,0.601,4
1/18/2005,8:00:00,3.1,1284,-200,16.8,1204,552,599,167,1337,1531,3.9,57.3,0.4661,4
6/30/2004,12:00:00,2.5,1193,-200,13.4,1097,152,698,155,1832,1139,36.6,27.8,1.676,4
11/5/2004,17:00:00,8.1,1870,-200,45.0,1871,1001,351,180,2483,2165,23.0,54.2,1.5066,4
9/9/2004,17:00:00,4.2,1315,-200,22.7,1370,522,794,212,1689,1399,37.6,14.5,0.9277,4
5/25/2004,12:00:00,2.1,1047,-200,13.5,1101,159,913,114,1391,1103,29.2,9.8,0.3914,4
10/7/2004,16:00:00,2.9,1342,-200,15.3,1157,267,572,87,1707,1195,28.6,37.6,1.4468,4
9/28/2004,8:00:00,4.3,1268,-200,27.1,1482,498,550,135,1849,1533,14.4,55.7,0.9087,4
5/18/2004,20:00:00,3.4,1232,-200,15.8,1173,174,751,135,1750,1284,23.7,30.0,0.8633,4
4/9/2004,0:00:00,2.4,-200,189,-200.0,-200,154,-200,109,-200,-200,-200.0,-200.0,-200.0,4
3/29/2005,13:00:00,2.5,1197,-200,11.7,1040,321,530,136,1519,1147,18.0,57.9,1.1826,4
9/7/2004,7:00:00,2.5,1228,-200,13.9,1113,231,628,72,1719,1324,23.7,46.2,1.3376,4
5/21/2004,18:00:00,3.6,1419,-200,20.1,1300,216,670,155,1923,1263,27.6,25.7,0.9382,4
5/20/2004,7:00:00,2.8,1490,-200,19.6,1286,188,593,97,2053,1447,16.6,55.9,1.0486,4
11/26/2004,1:00:00,2.3,1141,-200,9.7,967,417,698,117,1245,1214,9.1,65.7,0.7607,4
10/26/2004,21:00:00,2.1,1076,-200,9.8,972,239,691,95,1506,1192,21.0,57.4,1.4098,4
10/8/2004,17:00:00,2.9,1354,-200,19.2,1275,294,543,90,1799,1338,28.4,39.8,1.5191,4
3/29/2005,21:00:00,2.3,1145,-200,9.0,938,340,591,151,1376,1159,15.2,64.2,1.0983,4
7/18/2004,0:00:00,2.2,1136,-200,10.5,995,132,727,114,1591,1236,25.8,33.0,1.0826,4
11/16/2004,11:00:00,3.5,1160,-200,15.5,1165,713,655,219,1325,1403,17.5,26.4,0.5228,4
10/11/2004,10:00:00,3.4,1313,-200,17.1,1213,536,564,88,1789,1359,19.2,73.4,1.6192,4
1/4/2005,8:00:00,3.4,-200,-200,-200.0,-200,561,-200,174,-200,-200,-200.0,-200.0,-200.0,4
5/10/2004,19:00:00,4.0,1319,-200,24.4,1413,204,597,135,2050,1329,19.2,45.7,1.0084,4
9/10/2004,13:00:00,2.6,1147,-200,15.6,1168,417,858,165,1492,1118,33.3,18.9,0.9536,4
3/18/2005,14:00:00,2.3,1171,-200,10.4,993,290,597,160,1208,841,25.0,23.4,0.7301,4
10/27/2004,11:00:00,2.7,1169,-200,14.9,1144,427,611,130,1666,1291,21.0,57.9,1.4267,4
2/25/2005,19:00:00,3.4,1162,-200,12.6,1070,399,625,189,1229,1237,8.6,48.2,0.5385,4
3/16/2005,11:00:00,3.2,1339,-200,13.3,1094,568,509,200,1376,1634,19.3,34.7,0.7681,4
5/22/2004,19:00:00,2.7,1366,-200,15.7,1171,132,693,103,1933,1068,24.5,39.4,1.1963,4
12/7/2004,8:00:00,2.8,1230,-200,12.6,1070,450,761,98,1431,1197,11.7,68.9,0.9439,4
3/10/2004,20:00:00,2.2,1402,88,9.0,939,131,1140,114,1555,1074,11.9,54.0,0.7502,4
5/18/2004,10:00:00,2.4,1215,-200,12.3,1062,199,794,119,1650,1381,25.3,27.0,0.8565,4
12/15/2004,17:00:00,6.6,-200,-200,-200.0,-200,1237,-200,229,-200,-200,-200.0,-200.0,-200.0,4
10/23/2004,21:00:00,2.3,1229,-200,12.2,1055,255,607,96,1668,1219,21.0,69.3,1.7058,4
6/18/2004,7:00:00,2.2,1123,-200,14.5,1134,169,711,92,1922,1170,20.8,52.6,1.2758,4
11/4/2004,23:00:00,2.4,1181,-200,13.3,1094,345,600,74,1599,1180,18.8,70.6,1.5209,4
3/29/2005,13:00:00,2.5,1197,-200,11.7,1040,321,530,136,1519,1147,18.0,57.9,1.1826,4
12/25/2004,17:00:00,4.0,1542,-200,15.4,1161,464,531,181,1435,1972,11.4,67.9,0.9119,4
10/29/2004,8:00:00,3.7,1370,-200,22.8,1372,404,485,124,1945,1400,20.8,64.7,1.5692,4
